issue	title	disposition	semantic_class	rationale/evidence
669	graph-gateway: expose typed relationships for entitiesByPrefix consumers	product_feature_nonfoundation_defer	gateway	New GraphQL product field behavior outside stable existing query contract.
670	gated-DAG: add staged fan-out admission with atomic plan activation	product_feature_nonfoundation_defer	gated_dag	New orchestration feature outside foundation closeout.
671	predicate-audit: add occurrence-exact non-predicate classifications	product_feature_nonfoundation_defer	tooling	Audit-tool feature outside runtime tag safety.
672	graph-clustering: EntityIDProvider typePrefixCache/systemCache are build-once, never invalidated — sibling/system-peer enumeration goes stale in a long-running processor	current_foundation_finding	clustering	Current long-running cache correctness finding.
673	vocabulary: declare the standard dc.terms.modified predicate	product_feature_nonfoundation_defer	vocabulary	Vocabulary feature outside substrate.
675	types/graph: add validated query-prefix containment matcher	deliberately_deferred_foundation	graph_types	New shared API requires separate consumer and seam design.
676	rule: add durable runtime per-entity one-shot deadline triggers	product_feature_nonfoundation_defer	rule	New orchestration feature outside tag safety.
677	lifecycle-gateway: support validated atomic field updates on operator transitions	product_feature_nonfoundation_defer	lifecycle_gateway	Product gateway mutation feature.
678	lifecycle-gateway: add workflow and operation allowlists	product_feature_nonfoundation_defer	lifecycle_gateway	Product authorization/config feature.
679	service-manager: publish resolved gateway-component routes in runtime OpenAPI	product_feature_nonfoundation_defer	service	New runtime introspection surface outside closeout.
680	service/openapi: support security schemes and operation security policy	product_feature_nonfoundation_defer	service	New OpenAPI/security feature outside closeout.
682	lifecycle-gateway: return documented 413 for oversized request bodies	product_feature_nonfoundation_defer	lifecycle_gateway	Product HTTP behavior outside graph foundation.
683	graph/message: define repeated structured values under fixed predicate grammar	deliberately_deferred_foundation	message_model	Breaking semantic-model design requires its own programme.
688	rule: retire bare add/remove graph mutations behind projection contracts	current_foundation_finding	mutation	Current mutation-contract convergence finding.
689	gated-dag: replace raw claim writes with a contract-bound CAS primitive	current_foundation_finding	mutation	Current raw write bypass of the CAS-bound projection contract.
690	inference: converge relationship application on contract-bound mutation	current_foundation_finding	mutation	Current inference mutation convergence finding.
692	agentic mutation provenance: preserve logical operation identity and occurred-at	product_feature_nonfoundation_defer	provenance	New semantic provenance feature outside tag safety.
693	projection contracts: support contract-safe indexed predicate families	deliberately_deferred_foundation	projection	New projection-contract capability needs separate design.
694	agentrun: bind product milestone projection contracts	product_feature_nonfoundation_defer	agentic	Product projection adoption outside framework substrate.
695	agentic web observation: add typed origin and projection contract	product_feature_nonfoundation_defer	agentic	Product semantic feature outside tag safety.
701	graph-query: multi-community query expansion for cross-community thematic recall (evacuation residual)	deliberately_deferred_foundation	graph_query	Search-quality feature; requires product recall evidence.
710	graph-clustering: worker-owned bounded GC for COMMUNITY_SUMMARIES (content-addressed accumulation)	deliberately_deferred_foundation	retention	Spec declares no GC in this increment; separate reclamation programme.
725	configs/hello-world.json: graph-index block omits ALIAS_INDEX — tutorial config boots without graph-index	stale_or_changed_premise	configuration	The shipped hello-world config now declares `ALIAS_INDEX`.
734	An unrecognized schema Type spelling silently becomes "string" AND skips runtime validation	product_feature_nonfoundation_defer	schema	Schema-validation defect is outside selected closeout; track independently.
735	A stream-capacity publish rejection counts toward the shared client circuit breaker	current_foundation_finding	natsclient	Current error-classification/circuit-breaker coupling finding.
736	The integration suite oversubscribes Docker under package parallelism; sub-second tests time out	current_release_test_substrate	integration	Required pre-tag gate reliability and resource discipline.
738	storage-observability: account ceiling is not cluster-aware — a tiered account can report "no ceiling anywhere"	unverified_measurement_triggered	storage_observability	Topology-dependent claim needs real cluster evidence; do not predict locally.
739	storage-observability: the undescribable-resource path is not proven against a genuinely offline stream	unverified_measurement_triggered	storage_observability	Needs a deterministic offline-stream fixture or measured deployment evidence.
741	storage/objectstore: DefaultKeyGenerator collides distinct raw-path writes in the same second — silent overwrite	stale_or_changed_premise	objectstore	Every generated key now has a UUID nonce; unit and real-NATS regressions prove distinct same-second raw writes survive.
742	storage/objectstore: write consumer parks messages after MaxDeliver=3 (~60s outage) with no operator signal	current_foundation_finding	objectstore	Current classified delivery/observability finding.
746	processor/rule + research-graph: first-wins resolution makes a round-2 companion predicate permanently invisible	product_feature_nonfoundation_defer	rule	Product predicate-resolution semantics outside tag-safety closeout.
751	graph-ingest: createEntity runs hierarchy inference unconditionally where MergeEntity gates it behind an absence probe	current_foundation_finding	hierarchy	Verified write-lane hierarchy asymmetry remains current.
753	v1 sister-repo cutover: adoption tracking for the breaking framework contracts	current_release_test_substrate	downstream_migration	Downstreams pin then own migration; tracking is post-pin and cannot authorize shims.
759	natsclient: extract the shared JetStream ack-disposition helper — five consumers hand-roll classify→Ack/Nak/Term independently	product_feature_nonfoundation_defer	natsclient	Potential shared helper needs a separate exact census and design.
764	pkg/dispatch: BoundedDispatcher.Stats() chain dead-ends — no consumer outside the package	product_feature_nonfoundation_defer	code_hygiene	Unused observability surface cleanup outside closeout.
765	processor/rule docs describe an 'Authoritative WatchAll guard' the code no longer has	product_feature_nonfoundation_defer	documentation	Rule-specific stale docs outside selected truth cleanup.
766	e2e(statistical): validate the storage-observability surface — #737 shipped with zero e2e assertions	current_release_test_substrate	statistical_e2e	Deterministic tier coverage gap for a shipped framework surface.
767	e2e(structural): assert add-lane triple cardinality under replay — #747's dedup has no tier-level validation	current_release_test_substrate	structural_e2e	Deterministic replay coverage gap.
769	ci: nightly e2e:semantic + e2e:agentic; crud-tools fold-or-delete decision (#301 blocked)	current_release_test_substrate	ci	Required-tier scheduling and known failing-tier disposition are release substrate.
784	graph-gateway: GraphQL 'capabilities' field routes to graph.query.capabilities, which no component serves	stale_or_changed_premise	graph_gateway	`capabilities` is absent from current GraphQL and routing surfaces.
785	graph: migrate all query-reply shape-knowers onto the canonical decoder #782 introduces (class closure, post-tag)	stale_or_changed_premise	query_response	Fusion and research now use the shared canonical response decoder.
786	graph: QueryResponse.RequestID is set by no producer (phantom field)	stale_or_changed_premise	query_response	`QueryResponse` now contains only data and timestamp.
795	graph/readiness: package the consumer front door — Open() with catalog-bound, retry-binding BucketSource (sisters are hand-rolling it, N=2)	deliberately_deferred_foundation	readiness	Requires sister evidence and a separate exported-surface design; not a tag blocker.
802	graph: principal-bearing mutation envelope — DEFERRED post-v1 with explicit trigger conditions	deliberately_deferred_foundation	mutation	Explicitly post-v1 and trigger-gated.
807	agentic: persist TaskID claims beyond retained message dedupe	product_feature_nonfoundation_defer	agentic	Product durability feature outside graph foundation.
808	agentic-tools: effect-derived default approval policy (deferred from gh#749)	product_feature_nonfoundation_defer	agentic_tools	Product policy feature outside tag safety.
810	agentic-tools: tool.list discovery is silently swallowed when a JetStream stream covers tool.>	product_feature_nonfoundation_defer	agentic_tools	Product discovery/routing defect outside selected graph closeout.
811	e2e: five tier tasks exit 0 on scenario failure (ignore_error: true) — a false green for anyone gating on them	stale_or_changed_premise	e2e	All named task wrappers now preserve scenario exit and teardown; no live `ignore_error: true` remains.
818	graph-ingest: enforce immutable birth predicates across every mutation lane	current_foundation_finding	mutation	Current cross-lane mutation invariant remains.
819	graph-query: GlobalSearchResponse.Strategy is computed and metered but never reaches the wire	stale_or_changed_premise	graph_query	Current global-search success paths populate Strategy on the wire.
820	graph-clustering: no GRAPH_STATUS readiness envelope, so community-index readiness has no contract	stale_or_changed_premise	readiness	Post-G operation-local generation and typed `index_not_ready` supersede the global-status premise.
821	e2e: fresh-volume acceptance for the lifecycle create lane (create → transition → restart → history replay)	current_release_test_substrate	lifecycle_e2e	Deterministic fresh-volume lifecycle acceptance gap.
822	graph-query: export the request-subject list so consumers can detect subject collisions	overlapping_partly_superseded	graph_query	Internal operation inventory is authoritative; exported subject catalog is explicitly declined.
823	globalSearch defaults make agent-facing results useless below the summarize threshold	overlapping_partly_superseded	graph_query	F2 removed the framework wrapper cohort; any remaining quality premise needs a current direct consumer.
824	lifecycle-gateway: workflows that cannot be created through the operator route are still advertised on it	product_feature_nonfoundation_defer	lifecycle_gateway	Product route-advertisement behavior outside graph foundation.
827	ops: execute the announced pre-v1 coordinated tag + wipe/reseed (halt-if-window-closed is armed by v1)	current_release_test_substrate	release	Binding tag-boundary operation; halt and refile as migration if v1 closes the window.
828	docs/adr: ADR-068 D3 reasons from the hash+catalog key layout that ADR-078 retired	current_foundation_finding	architecture_truth	Verified stale foundation truth; correction is part of Option 2.
829	graph-clustering never wires ContentFetcher, so community summaries describe entity IDs instead of content	current_foundation_finding	clustering_quality	Current known capability-quality limitation; not a tag gate unless separately promoted.
830	e2e(semantic): RED on main — globalSearch known-answer probe times out in loadEntities (tier is not in CI)	stale_or_changed_premise	semantic_e2e	G closeout records a green semantic gate and actively monitored replay; CI scheduling remains #769.
833	graph-ingest/natsclient: request handlers grant themselves 2x their caller's budget — propagate the deadline instead	current_foundation_finding	request_reply	Current request/reply deadline propagation finding.
837	graph-clustering: an oversized community record aborts the whole detection pass (unbounded members vs 1 MiB payload)	stale_or_changed_premise	clustering	Whole-pass abort is fixed; #855 partial-prune and #839 capacity remain distinct.
839	graph: values that grow with graph size have no ceiling — community membership and entity batches vs the 1 MiB payload limit	current_foundation_finding	payload_capacity	Measured current capacity limit; #855 fixes non-destructive behavior only, and the tag needs an explicit owner-accepted limitation if capacity remains.
842	agentic-tools: move the default discovery subject off tool.list — DEFERRED from gh#810 to the next breaking wave	product_feature_nonfoundation_defer	agentic_tools	Explicitly deferred product breaking change.
844	e2e(ops): tier has been failing while reporting green — promote-lesson fails	current_release_test_substrate	ops_e2e	Known false-green/failing tier requires explicit disposition.
848	e2e(core): shipped protocol-flow raw storage lane has no e2e stage — #741 validated only by a hand-built integration slice	current_release_test_substrate	core_e2e	Deterministic tier-level coverage gap for shipped storage behavior.
854	lifecycle-gateway: operator routes have no authentication/authorization layer — gh#814's acceptance criterion, previously recorded nowhere	product_feature_nonfoundation_defer	security	Product gateway security programme; not graph substrate tag safety.
855	graph-clustering: dropping an oversized community silently destroys its members' prior community state — decide and record the intended contract	current_foundation_finding	clustering	Verified partial saved set can drive prune; contradicts non-destructive spec and is Option 2 runtime invariant.
857	payload-size class: framework writes that scale with data volume — one site handles the limit, ten can silently lose data	overlapping_partly_superseded	payload_capacity	#855 is one proven member; broad class needs a frozen census and measured follow-on.
860	e2e(crud-tools): verify-fire-every-n-events has been failing since before #809 — no rule ever reaches the evaluation counters	current_release_test_substrate	crud_e2e	Known deterministic tier failure must be surfaced and dispositioned.
862	component: seal Discoverable — components declare ports, the framework renders them (BREAKING, pre-v1)	overlapping_partly_superseded	component_ports	Registry now captures immutable admitted declarations; remaining exported shape needs a fresh design, not a shim.
865	agentic-dispatch: successful loops never return their result — the success switch matches a state spelling against the outcome field	product_feature_nonfoundation_defer	agentic_dispatch	Product result-delivery defect outside graph tag safety.
866	agentic-dispatch: every loop cancellation is acked and dropped — agent.complete carries two payload types, the subscriber asserts one	product_feature_nonfoundation_defer	agentic_dispatch	Product cancellation/payload defect outside graph foundation.
867	Unbounded component-start barrier prevents the HTTP and metrics listeners from ever binding	current_foundation_finding	service_startup	Current framework startup availability finding; separate bounded programme unless candidate gates reproduce it.
868	Generalise graph/readiness beyond graph.IndexStatusResponse so non-graph producers can reuse it	unverified_measurement_triggered	readiness	No present consumer justifies a generalized exported surface; require measured consumers.
872	e2e coverage gap: no tier exercises concurrent lifecycle creates (or the 409 that a loser now receives)	current_release_test_substrate	lifecycle_e2e	Deterministic concurrency/outcome coverage gap.
875	graph-embedding: StorageRef fallback is instance-blind — a ref it cannot serve pins the index Degraded indefinitely	current_foundation_finding	storage_reference	Storable producers are admitted and graph-ingest persists refs; registry miss can select an unrelated legacy store and pin embedding failed/degraded.
881	graph-embedding: no current count of entities whose offloaded body is unreachable (the gh#875 cost ledger)	unverified_measurement_triggered	storage_reference	Measurement is required before #875 scope or priority can be set.
882	graph-gateway: define authenticated HTTP access and entity-prefix authorization	product_feature_nonfoundation_defer	security	New gateway security product contract outside tag safety.
883	graph-gateway: honor GraphQL selection sets and minimize entity responses	product_feature_nonfoundation_defer	gateway	Gateway optimization/behavior feature outside closeout.
885	graph-gateway: scope and paginate spatialSearch before applying limits	product_feature_nonfoundation_defer	gateway	New pagination/scoping behavior requires separate public seam design.
886	graph-gateway: align relationships schema with runtime response fields	product_feature_nonfoundation_defer	gateway	Product GraphQL schema fix outside selected closeout.
887	graph-embedding: the persisted embedding state model is narrower than the runtime one — is that deliberate? (question, evidence attached)	unverified_measurement_triggered	embedding	Open design question; measure restart/correctness consequence before changing persistence.
888	e2e: no tier can observe the unresolvable-StorageInstance class — the gh#875 defect was structurally unobservable in CI	current_release_test_substrate	semantic_e2e	Deterministic observability gap for the measurement-triggered #875 class.
